"frame" "survey" "transect" "y" "file" "timestamp" "time" "altitude" "depth" "heading" "lat" "lon" "pitch" "roll" "surge" "brightness" "exposure" "gain" "gamma" "shutter" "white_bu" "white_rv" "alt"
"108" 8 2 1 0 "frame001690_0.jpg" 1321535600.44808 "2011111713:13:20.448" 1.95231 31.6139 318.748 6505.4042 2245.4854 0.0439453 -1.49414 1.319 0 0.745972 25.9161 1 0.0105028 90 80 2
"109" 9 2 1 8 "frame001678_0.jpg" 1321535594.95828 "2011111713:13:14.958" 1.86472 31.8456 318.621 6505.4015 2245.4787 1.02722 -2.94983 1.373 0 0.737 25.9161 1 0.0105028 90 80 1.9
"110" 10 2 1 3 "frame001943_0.jpg" 1321535717.58817 "2011111713:15:17.588" 2.20796 28.0553 320.558 6505.4625 2245.6255 -2.02148 -2.94983 1.275 0 0.614746 25.9161 1 0.0105028 90 80 2.2
"111" 11 2 1 2 "frame002054_0.jpg" 1321535768.90807 "2011111713:16:08.908" 2.04135 29.1636 321.503 6505.4878 2245.6863 -0.0933838 -1.03271 1.294 0 0.794434 25.9161 1 0.0105028 90 80 2
"112" 12 2 1 2 "frame001645_0.jpg" 1321535579.708 "2011111713:12:59.708" 1.87291 32.9647 320.374 6505.3935 2245.4605 -1.72485 -2.97729 1.31 0 0.862122 25.9161 1 0.0105028 90 80 1.9
"113" 13 2 1 3 "frame001755_0.jpg" 1321535630.4482 "2011111713:13:50.448" 2.15078 31.028 318.434 6505.4192 2245.5212 -1.69739 -3.55408 1.327 0 0.727966 25.9161 1 0.0105028 90 80 2.2
"114" 14 2 1 1 "frame001921_0.jpg" 1321535707.42815 "2011111713:15:07.428" 1.98279 28.2538 320.564 6505.4574 2245.6133 -0.0604248 -1.18652 1.289 0 0.882629 25.9161 1 0.0105028 90 80 2
"115" 15 2 1 1 "frame001824_0.jpg" 1321535662.55805 "2011111713:14:22.558" 2.12694 31.1848 319.615 6505.4351 2245.5597 -0.922852 -2.79602 1.306 0 0.759338 25.9161 1 0.0105028 90 80 2.1
"116" 16 2 1 1 "frame002008_0.jpg" 1321535747.72847 "2011111713:15:47.728" 2.24629 28.9794 320.739 6505.4771 2245.6607 -2.55981 -1.48315 1.281 0 0.559692 25.9161 1 0.0105028 90 80 2.2
"117" 17 2 1 7 "frame001864_0.jpg" 1321535681.10816 "2011111713:14:41.108" 1.85351 30.3618 320.229 6505.4441 2245.5813 1.27441 -2.13684 1.361 0 0.918884 25.9161 1 0.0105028 90 80 1.9
